,2021-12-30,消息称华润微 12 英寸先进功率半导体晶圆生产线项目有望于明年建成投产,中电网
758,2021-04-05,【华西电子孙远峰团队-持续看好半导景气】半导体景气度持续，或逐渐步入业绩兑现期,远峰电子
759,2021-04-05,板块拾金| 半导体芯片大涨，一季报行情来袭，节后机会这么把握！,第一财经
760,2021-04-05,电子产业景气度：再次涨价进行时,新浪
761,2021-04-02,比中芯国际更好！汽车芯片隐形冠军，设计+代工+封测都齐了,云掌财经
762,2021-04-02,A股资金流向（4月2日）：成长与价值齐飞，机构抱团股连续获资金抢筹,Wind
763,2021-04-02,芯片股惊现“熔断”，白酒也飙升！机构：进入反弹窗口,Wind
764,2021-04-02,中芯国际为留人，送CEO一套2000万住房，更有薪水涨4倍,Wind
765,2021-04-01,芯片厂涨价消息传来，晶圆缺货延续产业链受益丨牛熊眼,第一财经
766,2021-04-01,中芯国际等大厂纷纷跟进涨价，机构称缺“芯”还得持续一年以上,Wind
767,2021-04-01,国元证券：3月金股组合亏损6.48% 4月荐股名单出炉 亏损,新浪
768,2021-04-01,A股资金流向（4月1日）：白马股齐反弹，科技龙头获资金抢筹,Wind
769,2021-04-01,今起大幅涨价？芯片股集体疯狂！300亿上市公司董秘转文：芯片荒是照妖镜，好公司差公司一目了然！股价应声涨停,每日经济新闻
770,2021-04-01,芯片缺货潮蔓延，概念股大涨，行业龙头刚刚发布利好,搜狐
771,2021-04-01,芯片股集体飙涨行业龙头刚刚发布利好,证券之星
772,2021-04-01,“业界第一杀猪盘”中源家居崩了 上市3年杀4次猪,新浪
773,2021-04-01,解盘：科技、消费崛起，医美、半导体、高价股领涨,Wind
774,2021-04-01,平安证券--电子行业周报：小米发布年报，英特尔计划扩产【行业研究】,金融界股吧
775,2021-04-01,4月金股曝光！券商看好这些股，最高目标价涨超70%,Wind
776,2021-03-31,A股资金流向（3月31日）：部分业绩不及预期白马股遭抛售,Wind
777,2021-03-29,A股芯片生产企业迎来利好 三部门派发进口免税“大礼包”,第一财经
778,2021-03-29,电子行业周报：一季报披露将近 面板和功率业绩确定性高,华安证券
779,2021-03-29,半导体行业周报：MAGNACHIP与智路资本达成私有化收购协议 建议关注行业格局变化,新浪
780,2021-03-29,半导体板块短线走高，广信材料、容大感光等直线拉升,Wind
781,2021-03-28,【中信建投电子|刘双锋&雷鸣团队】周报：车用芯片缺货潮或加剧；面板价格3-4月预计继续调涨,中信建投电子研究
782,2021-03-28,艾为电子董监高大额资金往来不断，中信证券是否尽职核查？,新浪
783,2021-03-26,研究 | 力芯微子公司同原实控人或牵扯不清 独董与供应商现重叠“朋友圈”,中金在线
784,2021-03-26,艾为电子不仅采销数据“打架”，高管任职履历也疑似作假 欺诈造假,新浪
785,2021-03-26,A股主力资金流向：周五大幅流入本周仍净流出千亿,Wind
786,2021-03-26,两会聚焦国产半导体自主发展 华润微IDM模式优势凸显打造“中国芯”,投资者网
787,2021-03-25,A股主力资金流向（3月25日）：资金加速逃离面板、碳中和概念股,Wind
788,2021-03-24,华润微现1笔大宗交易 共成交202.98万元,新浪
789,2021-03-24,华润微今日大宗交易成交3.87万股，成交价52.45元溢价0.0%,Wind
790,2021-03-24,A股主力资金流向（3月24日）：机构抱团股再遭抛售,Wind
791,2021-03-23,A股主力资金流向（3月23日）：面板、电子烟板块遭抛售,Wind
792,2021-03-23,八大券商主题策略：被动元件“涨”声不断！乘国产替代之风 产业链龙头全梳理,中金在线
793,2021-03-23,电子(半导体)：成熟工艺需求旺盛 国内企业加速布局,新浪
794,2021-03-22,定增市场2021年2月报：买方市场特征明显：竞价折价率大幅攀升 募足率降至五成,新浪
795,2021-03-22,【华西电子孙远峰团队-行业点评】成熟工艺需求旺盛，国内企业加速布局,远峰电子
796,2021-03-22,电子行业周报：芯片持续供不应求 继续看好被动元器件和面板景气,新浪
797,2021-03-22,平安证券--电子行业周报：中芯国际深圳扩产，miniled热度提升【行业研究】,金融界股吧
798,2021-03-21,半导体周报：SEMI预测中国IC晶圆产能今年将至少增长17%,新浪
799,2021-03-20,【银河周知】强化国家战略科技力量，把握新一轮科技股布局良机,中国银河证券研究
800,2021-03-19,A股主力资金流向（3月19日）：机构抱团股再遭抛售,Wind
801,2021-03-19,半导体展上人头攒动，业界热议三大投资机遇,Wind
802,2021-03-18,华润微(688396.SH)：定增申请获证监会同意注册批复,格隆汇
803,2021-03-18,A股主力资金流向（3月18日）：市场轮动加快，资金各自为战,Wind
804,2021-03-17,A股主力资金流向（3月17日）：科技股获资金回流，金融、碳中和被抛售,Wind
805,2021-03-17,芯片制造关键设备再突破，概念股发力走高，苏州固碍等涨停,证券时报网
806,2021-03-17,第三代半导体时代到来，国内企业加码布局，概念股已蠢蠢欲动,第一财经
807,2021-03-16,功率器件爆发、大基金持股背后 士兰微“硬伤”已愈？,新浪
808,2021-03-16,A股主力资金流向（3月16日）：白酒地产及碳中和概念股获抢筹,Wind
809,2021-03-16,电子行业周报：中美半导体协会成立“工作组” OPPO FIND X3系列发布,新浪
810,2021-03-16,1月券商金股名单出炉！白酒降温，顺周期仍受捧，这些股票有看头,中证报
811,2021-03-15,半导体动态分析：都说芯片行业高景气为什么板块股票却跌跌不休?,新浪
812,2021-03-15,A股主力资金流向（3月15日）：半导体白酒及新能源股抛压较重,Wind
813,2021-03-15,购入离子机攻第七代IGBT！原厂功率器件中国对手，杭州IDM老厂漂亮翻身,国际电子商情
814,2021-03-15,国内财经媒体头版2021年3月15日星期一,Wind
815,2021-03-15,技术骨干频频离职，科创板公司遭遇留人难题,Wind
816,2021-03-15,【东吴电子王平阳团队】半导体周报：功率半导体供不应求，本土产业链加速腾飞,东吴电子研究
817,2021-03-14,【中信建投电子|刘双锋&雷鸣团队】周报：国内手机市场2月显着回暖；苹果春季新品预计搭载Mini LED,中信建投电子研究
818,2021-03-12,A股主力资金流向：本周累计净流出1439亿，东方财富、比亚迪净流出额居前,Wind
819,2021-03-12,汽车“缺芯”带来国产化机遇 这几家科创板公司正悄然布局,科创板日报
820,2021-03-12,华安证券--电子行业：中美半导体产业技术和贸易限制工作组点评【行业研究】,金融界股吧
821,2021-03-11,【半导体动态分析】芯片市场传出重磅消息，这些股看涨空间40%,新浪
822,2021-03-11,中美这一工作组成立！AH股半导体板块瞬间飙升,第一财经
823,2021-03-11,A股大幅反弹！芯片传来大消息 港股半导体股飙涨,证券时报
824,2021-03-11,中银证券--电子行业点评：强调科技自立，坚持创新驱动发展【行业研究】,金融界股吧
825,2021-03-11,芯片刚刚传来大消息，港股半导体股瞬间飙涨！中一签大赚15万，1万股东狂欢，国产CAD龙头毛利率爆表,金融界
826,2021-03-10,中概股回A迎最好时机，跨市场溢价交易来临,Wind
827,2021-03-10,碳中和之行业拆解-再看碳中和：融资、生产、生活方式变革,新浪
828,2021-03-10,长城证券--电子元器件行业周报：3月上旬面板价格延续强势，2月DRAM存储价格大幅上涨【行业研究】,金融界股吧
829,2021-03-10,华润微：有研发汽车功率芯片，正推进与相关厂商合作,Wind
830,2021-03-10,华润微：公司有研发汽车功率芯片，正在积极推进与相关汽车厂商合作,每日经济新闻
831,2021-03-10,半导体行业点评报告：信越硅片提价 全球半导体景气度持续攀升,新浪
832,2021-03-09,兴证策略：科创50“大换血”有望改善弱势结构的影响,XYSTRATEGY
833,2021-03-09,兴业证券：科创50“大换血”有望改善弱势结构的影响,XYSTRATEGY
834,2021-03-09,A股主力资金流向（3月9日）：近500亿资金再度出逃,Wind
835,2021-03-09,华润微：公司有光刻机,Wind
836,2021-03-09,电子元器件行业动态跟踪：光刻机助力中芯国际产业链产能快速扩张,新浪
837,2021-03-09,国元证券--半导体与半导体生产设备行业跟踪报告：21Q1景气度进一步验证，供应紧缺情况持续紧张【行业研究】,金融界股吧
838,2021-03-08,A股主力资金流向（3月8日）：机构抱团股持续遭抛售,Wind
839,2021-03-08,平安证券--电子行业周报：“十四五”强调科技攻关，中芯签订设备购买协议【行业研究】,金融界股吧
840,2021-03-07,科创板340多亿再融资揭秘：间隔时间被重点关注这家尚亏损公司被问询三轮 亏损,科创板日报
841,2021-03-05,A股主力资金流向（3月5日）：本周大幅抛售光伏、有色股，抢筹金融股,Wind
842,2021-03-05,解盘：沪指破3500点，百亿资金流入，证券、白酒护盘,Wind
843,2021-03-05,光大证券--电子行业半导体2月跟踪报告：中芯国际许可证或已落地，功率半导体景气度不减【行业研究】,金融界股吧
844,2021-03-04,A股主力资金流向（3月4日）：330亿资金逃离中小创,Wind
845,2021-03-04,【行情】第三代半导体持续走低，新洁能、士兰微跌逾8%，华峰测控、北方华创、华润微、闻泰科技等跟跌,金十数据
846,2021-03-04,电子元器件行业动态点评：半导体行业供需紧张 智能手机需求恢复前景可观,新浪
847,2021-03-04,次新股频现再融资，募资额大多超过IPO,Wind
848,2021-03-03,A股主力资金流向（3月3日）：超百亿资金抢筹金融股,Wind
849,2021-03-03,3月3日晚间重要行业研究汇总(附股),中金在线
850,2021-03-03,周三证券|高景气不减 半导体再受关注,金融投资报
851,2021-03-02,A股主力资金流向（3月2日）：白马股遭抛售，中国平安净流出逾10亿,Wind
852,2021-03-02,消费电子行业维持高景气度，芯片紧缺问题依然存在,中证报
853,2021-03-02,每日理财观察：钢铁产量存在继续压缩预期,Wind
854,2021-03-02,半导体行业深度跟踪报告：多维数据框架详解半导体产业链景气趋势,新浪
855,2021-03-02,策略专题报告：“两会”政策前瞻及行业机会,新浪
856,2021-03-01,道达投资手记：总算反弹了 行情或进入震荡期,每日经济新闻
857,2021-03-01,犀牛财经晚报：特斯拉否认做换电业务PP体育解除中超版权协议,GPLP犀牛财经
858,2021-03-01,A股沸腾了！芯片大爆发，蔡嵩松又要火了？,Wind
859,2021-03-01,华润微：助理总裁康斌辞职 董监高成员变化,每日经济新闻
860,2021-03-01,A股主力资金流向（3月1日）：近40亿资金重新杀入材料行业,Wind
861,2021-03-01,康斌辞任华润微(688396.SH)公司助理总裁职务 董监高成员变化,智通财经
862,2021-03-01,华润微：公司高级管理人员离职 董监高成员变化,Wind
863,2021-03-01,华润微:机构重仓股，隔夜涨幅超过10%，今日资金流入18128.63万元,每日经济新闻
864,2021-03-01,A股收盘综述：上证指数缩量涨1.21%，机构抱团股反攻、稀土点燃题材股,Wind
865,2021-03-01,部分龙头继续提价 半导体板块走强 士兰微等涨停,证券时报
866,2021-03-01,信达证券--电子行业周报：关注MWC上海展会，聚焦行业创新亮点【行业研究】,金融界股吧
867,2021-03-01,我国集成电路产业规模不断增长，半导体企业有望迎黄金发展期丨牛熊眼,第一财经
868,2021-03-01,功率半导体行业深度报告：行业需求风起云涌 功率半导体国产替代正当时,国海证券
869,2021-03-01,芯片股维持强势，国科微、立昂微、士兰微、紫光国微、北京君正等大涨,Wind
870,2021-03-01,华安证券--电子行业周报：价格继续上行，持续推荐面板和功率半导体板块【行业研究】,金融界股吧
871,2021-03-01,平安证券--电子行业周报：深改委强调攻克“卡脖子”技术，华为发布Mate X2【行业研究】,金融界股吧
872,2021-03-01,国联证券给予华润微推荐评级，2020年高增长，景气有望延续,每日经济新闻
873,2021-03-01,消费电子一季度淡季不淡，手机厂商高喊芯片紧缺,Wind
874,2021-02-28,高瓴突然计划甩卖大牛股！超1400亿解禁洪流来袭,Wind
875,2021-02-28,下周1438亿市值限售股解禁，环比增加127.62% 解禁,Wind
876,2021-02-26,委员建议“紧急修订上市条件”？证监会：稳定确定的上市标准符合长远发展需要,第一财经
